pclass,sex,age,sibsp,parch,fare,cabin,embarked,boat
1,0,33.0,0,0,151.55,0,3,8
1,1,31.0,1,0,52.0,90,3,0
1,0,27.0,1,2,52.0,90,3,22
1,1,31.0,1,0,57.0,4,3,22
1,0,17.0,1,0,57.0,4,3,22
1,1,53.0,1,1,81.8583,175,3,20
1,1,4.0,0,2,81.8583,175,3,18
1,0,54.0,1,1,81.8583,175,3,18
1,1,50.0,1,0,106.425,50,2,0
1,0,27.0,1,1,247.5208,174,2,6
1,0,48.0,1,0,106.425,50,2,21
1,0,48.0,1,0,39.6,182,2,27
1,1,49.0,1,0,56.9292,47,2,27
1,1,39.0,0,0,29.7,102,2,0
1,0,23.0,0,1,83.1583,173,2,4
1,0,38.0,0,0,227.525,89,2,24
1,0,54.0,1,0,78.2667,181,2,24
1,0,36.0,0,0,31.6792,96,2,0
1,1,0.0,0,0,221.7792,84,3,0
1,0,0.0,0,0,31.6833,0,3,4
1,0,0.0,0,0,110.8833,0,2,24
1,1,36.0,0,0,26.3875,37,3,18
1,1,30.0,0,0,27.75,131,2,0
1,0,24.0,3,2,263.0,167,3,17
1,0,28.0,3,2,263.0,167,3,17
1,0,23.0,3,2,263.0,167,3,17
1,1,19.0,3,2,263.0,167,3,0
1,1,64.0,1,4,263.0,167,3,0
1,0,60.0,1,4,263.0,167,3,17
1,0,30.0,0,0,56.9292,39,2,27
1,1,0.0,0,0,26.55,146,3,0
1,1,50.0,2,0,133.65,0,3,18
1,1,43.0,1,0,27.7208,155,2,18
1,0,0.0,1,0,133.65,0,3,18
1,0,22.0,0,2,49.5,183,2,18
1,1,60.0,1,1,79.2,101,2,18
1,0,48.0,1,1,79.2,101,2,18
1,1,0.0,0,0,0.0,104,3,0
1,1,37.0,1,0,53.1,178,3,0
1,0,35.0,1,0,53.1,178,3,19
1,1,47.0,0,0,38.5,177,3,0
1,0,35.0,0,0,211.5,179,2,24
1,0,22.0,0,1,59.4,0,2,4
1,0,45.0,0,1,59.4,0,2,4
1,1,24.0,0,0,79.2,145,2,0
1,1,49.0,1,0,89.1042,74,2,18
1,0,0.0,1,0,89.1042,74,2,18
1,1,71.0,0,0,34.6542,82,2,0
1,1,53.0,0,0,28.5,118,2,2
1,0,19.0,0,0,30.0,153,3,22
1,1,38.0,0,1,153.4625,72,3,0
1,0,58.0,0,1,153.4625,86,3,22
1,1,23.0,0,1,63.3583,134,2,4
1,0,45.0,0,1,63.3583,134,2,4
1,1,46.0,0,0,79.2,166,2,0
1,1,25.0,1,0,55.4417,31,2,18
1,0,25.0,1,0,55.4417,31,2,18
1,1,48.0,1,0,76.7292,105,2,22
1,0,49.0,1,0,76.7292,105,2,22
1,1,0.0,0,0,42.4,0,3,0
1,1,45.0,1,0,83.475,144,3,0
1,0,35.0,1,0,83.475,144,3,19
1,1,40.0,0,0,0.0,108,3,0
1,1,27.0,0,0,76.7292,180,2,22
1,1,0.0,0,0,30.0,170,3,22
1,0,24.0,0,0,83.1583,173,2,4
1,1,55.0,1,1,93.5,149,3,0
1,0,52.0,1,1,93.5,149,3,22
1,1,42.0,0,0,42.5,33,3,0
1,1,0.0,0,0,51.8625,123,3,0
1,1,55.0,0,0,50.0,19,3,0
1,0,16.0,0,1,57.9792,109,2,24
1,0,44.0,0,1,57.9792,109,2,24
1,0,51.0,1,0,77.9583,65,3,17
1,1,42.0,1,0,52.0,0,3,0
1,0,35.0,1,0,52.0,0,3,8
1,1,35.0,0,0,26.55,0,2,12
1,1,38.0,1,0,90.0,14,3,19
1,1,0.0,0,0,30.6958,0,2,13
1,0,35.0,1,0,90.0,14,3,19
1,0,38.0,0,0,80.0,17,0,6
1,0,50.0,0,0,28.7125,98,2,0
1,1,49.0,0,0,0.0,117,3,25
1,1,46.0,0,0,26.0,0,3,0
1,1,50.0,0,0,26.0,73,3,0
1,1,32.5,0,0,211.5,5,2,0
1,1,58.0,0,0,29.7,128,2,0
1,1,41.0,1,0,51.8625,59,3,0
1,0,0.0,1,0,51.8625,59,3,8
1,1,42.0,1,0,52.5542,80,3,18
1,0,45.0,1,0,52.5542,80,3,18
1,1,0.0,0,0,26.55,85,3,0
1,0,39.0,0,0,211.3375,0,3,21
1,0,49.0,0,0,25.9292,163,3,8
1,0,30.0,0,0,106.425,0,2,21
1,1,35.0,0,0,512.3292,138,2,22
1,1,0.0,0,0,27.7208,0,2,0
1,1,42.0,0,0,26.55,0,3,0
1,0,55.0,0,0,27.7208,0,2,6
1,0,16.0,0,1,39.4,154,3,26
1,0,51.0,0,1,39.4,154,3,26
1,1,29.0,0,0,30.0,91,3,0
1,0,21.0,0,0,77.9583,78,3,17
1,1,30.0,0,0,45.5,0,3,0
1,0,58.0,0,0,146.5208,88,2,0
1,0,15.0,0,1,211.3375,56,3,21
1,1,30.0,0,0,26.0,8,3,0
1,0,16.0,0,0,86.5,34,3,8
1,1,0.0,0,0,29.7,61,2,4
1,1,19.0,1,0,53.1,111,3,0
1,0,18.0,1,0,53.1,111,3,17
1,0,24.0,0,0,49.5042,126,2,6
1,1,46.0,0,0,75.2417,36,2,0
1,1,54.0,0,0,51.8625,123,3,0
1,1,36.0,0,0,26.2875,37,3,4
1,1,28.0,1,0,82.1708,0,2,0
1,0,0.0,1,0,82.1708,0,2,6
1,1,65.0,0,0,26.55,48,3,0
1,1,44.0,2,0,90.0,92,1,0
1,0,33.0,1,0,90.0,92,1,13
1,0,37.0,1,0,90.0,92,1,13
1,1,30.0,1,0,57.75,92,2,15
1,1,55.0,0,0,30.5,168,3,0
1,1,47.0,0,0,42.4,0,3,0
1,1,37.0,0,1,29.7,3,2,0
1,0,31.0,1,0,113.275,157,2,6
1,0,23.0,1,0,113.275,157,2,6
1,1,58.0,0,2,113.275,142,2,0
1,0,19.0,0,2,26.2833,122,3,18
1,1,64.0,0,0,26.0,0,3,0
1,0,39.0,0,0,108.9,49,2,8
1,1,0.0,0,0,25.7417,0,2,4
1,0,22.0,0,1,61.9792,27,2,18
1,1,65.0,0,1,61.9792,107,2,0
1,1,28.5,0,0,27.7208,176,2,0
1,1,0.0,0,0,0.0,0,3,0
1,1,45.5,0,0,28.5,85,3,0
1,1,23.0,0,0,93.5,62,3,0
1,1,29.0,1,0,66.6,25,3,0
1,0,22.0,1,0,66.6,25,3,8
1,1,18.0,1,0,108.9,152,2,0
1,0,17.0,1,0,108.9,152,2,8
1,0,30.0,0,0,93.5,28,3,22
1,1,52.0,0,0,30.5,66,3,6
1,1,47.0,0,0,52.0,29,3,0
1,0,56.0,0,1,83.1583,21,2,4
1,1,38.0,0,0,0.0,0,3,0
1,1,0.0,0,0,39.6,0,3,5
1,1,22.0,0,0,135.6333,0,2,0
1,1,0.0,0,0,227.525,0,2,0
1,0,43.0,0,1,211.3375,87,3,21
1,1,31.0,0,0,50.4958,103,3,0
1,1,45.0,0,0,26.55,0,3,26
1,1,0.0,0,0,50.0,171,3,0
1,0,33.0,0,0,27.7208,132,2,15
1,1,46.0,0,0,79.2,0,2,0
1,1,36.0,0,0,40.125,106,2,0
1,0,33.0,0,0,86.5,113,3,8
1,1,55.0,1,0,59.4,0,2,0
1,0,54.0,1,0,59.4,0,2,6
1,1,33.0,0,0,26.55,0,3,0
1,1,13.0,2,2,262.375,114,2,24
1,0,18.0,2,2,262.375,114,2,24
1,0,21.0,2,2,262.375,114,2,24
1,1,61.0,1,3,262.375,114,2,0
1,0,48.0,1,3,262.375,114,2,24
1,1,0.0,0,0,30.5,8,3,22
1,0,24.0,0,0,69.3,71,2,26
1,1,0.0,0,0,26.0,0,3,27
1,0,35.0,1,0,57.75,11,2,15
1,0,30.0,0,0,31.0,0,2,24
1,1,34.0,0,0,26.55,0,3,4
1,0,40.0,0,0,153.4625,86,3,22
1,1,35.0,0,0,26.2875,121,3,18
1,1,50.0,1,0,55.9,64,3,0
1,0,39.0,1,0,55.9,64,3,15
1,1,56.0,0,0,35.5,44,2,22
1,1,28.0,0,0,35.5,57,3,4
1,1,56.0,0,0,26.55,0,3,0
1,1,56.0,0,0,30.6958,136,2,0
1,1,24.0,1,0,60.0,120,3,0
1,1,0.0,0,0,26.0,51,3,0
1,0,18.0,1,0,60.0,120,3,6
1,1,24.0,1,0,82.2667,127,3,4
1,0,23.0,1,0,82.2667,127,3,4
1,1,6.0,0,2,134.5,94,2,22
1,1,45.0,1,1,134.5,94,2,22
1,0,40.0,1,1,134.5,94,2,22
1,1,57.0,1,0,146.5208,159,2,0
1,0,0.0,1,0,146.5208,159,2,6
1,1,32.0,0,0,30.5,70,2,22
1,1,62.0,0,0,26.55,133,3,0
1,1,54.0,1,0,55.4417,40,2,27
1,0,43.0,1,0,55.4417,40,2,18
1,0,52.0,1,0,78.2667,181,2,24
1,1,0.0,0,0,27.7208,0,2,0
1,0,62.0,0,0,80.0,17,0,6
1,1,67.0,1,0,221.7792,15,3,0
1,0,63.0,1,0,221.7792,15,3,0
1,1,61.0,0,0,32.3208,147,3,0
1,0,48.0,0,0,25.9292,163,3,8
1,0,18.0,0,2,79.65,30,3,8
1,1,52.0,1,1,79.65,158,3,0
1,0,39.0,1,1,79.65,158,3,8
1,1,48.0,1,0,52.0,13,3,28
1,0,0.0,1,0,52.0,13,3,28
1,1,49.0,1,1,110.8833,38,2,0
1,1,17.0,0,2,110.8833,139,2,2
1,0,39.0,1,1,110.8833,38,2,24
1,0,0.0,0,0,79.2,0,2,19
1,1,31.0,0,0,28.5375,110,2,4
1,1,40.0,0,0,27.7208,0,2,0
1,1,61.0,0,0,33.5,115,3,0
1,1,47.0,0,0,34.0208,116,3,0
1,0,35.0,0,0,512.3292,0,2,22
1,1,64.0,1,0,75.25,58,2,0
1,0,60.0,1,0,75.25,58,2,18
1,1,60.0,0,0,26.55,0,3,0
1,1,54.0,0,1,77.2875,1,3,0
1,1,21.0,0,1,77.2875,1,3,0
1,0,55.0,0,0,135.6333,53,2,8
1,0,31.0,0,2,164.8667,18,3,8
1,1,57.0,1,1,164.8667,0,3,0
1,0,45.0,1,1,164.8667,0,3,8
1,1,50.0,1,1,211.5,9,2,0
1,1,27.0,0,2,211.5,45,2,0
1,0,50.0,1,1,211.5,9,2,24
1,0,21.0,0,0,26.55,0,3,9
1,1,51.0,0,1,61.3792,0,2,0
1,1,21.0,0,1,61.3792,0,2,5
1,1,0.0,0,0,35.0,12,3,0
1,0,31.0,0,0,134.5,95,2,22
1,1,0.0,0,0,35.5,185,3,19
1,1,62.0,0,0,26.55,0,3,0
1,0,36.0,0,0,135.6333,53,2,8
2,1,30.0,1,0,24.0,0,2,0
2,0,28.0,1,0,24.0,0,2,17
2,1,30.0,0,0,13.0,0,3,0
2,1,18.0,0,0,11.5,0,3,0
2,1,25.0,0,0,10.5,0,3,0
2,1,34.0,1,0,26.0,0,3,0
2,0,36.0,1,0,26.0,0,3,15
2,1,57.0,0,0,13.0,0,3,0
2,1,18.0,0,0,11.5,0,3,0
2,1,23.0,0,0,10.5,0,3,0
2,0,36.0,0,0,13.0,169,3,17
2,1,28.0,0,0,10.5,0,3,0
2,1,51.0,0,0,12.525,0,3,0
2,1,32.0,1,0,26.0,0,3,20
2,0,19.0,1,0,26.0,0,3,20
2,1,28.0,0,0,26.0,0,3,0
2,1,1.0,2,1,39.0,100,3,15
2,0,4.0,2,1,39.0,100,3,15
2,0,12.0,2,1,39.0,100,3,20
2,0,36.0,0,3,39.0,100,3,15
2,1,34.0,0,0,13.0,97,3,20
2,0,19.0,0,0,13.0,0,3,14
2,1,23.0,0,0,13.0,0,3,0
2,1,26.0,0,0,13.0,0,3,0
2,1,42.0,0,0,13.0,0,3,0
2,1,27.0,0,0,13.0,0,3,0
2,0,24.0,0,0,13.0,83,3,15
2,0,15.0,0,2,39.0,0,3,13
2,1,60.0,1,1,39.0,0,3,0
2,0,40.0,1,1,39.0,0,3,13
2,0,20.0,1,0,26.0,0,3,14
2,1,25.0,1,0,26.0,0,3,0
2,0,36.0,0,0,13.0,0,3,26
2,1,25.0,0,0,13.0,0,3,0
2,1,42.0,0,0,13.0,0,3,0
2,0,42.0,0,0,13.0,0,3,0
2,1,0.8333,0,2,29.0,0,3,20
2,1,26.0,1,1,29.0,0,3,20
2,0,22.0,1,1,29.0,0,3,20
2,0,35.0,0,0,21.0,0,3,13
2,1,0.0,0,0,0.0,0,3,0
2,1,19.0,0,0,13.0,0,3,0
2,0,44.0,1,0,26.0,0,3,0
2,1,54.0,1,0,26.0,0,3,0
2,1,52.0,0,0,13.5,0,3,0
2,1,37.0,1,0,26.0,0,3,0
2,0,29.0,1,0,26.0,0,3,0
2,0,25.0,1,1,30.0,0,3,14
2,0,45.0,0,2,30.0,0,3,14
2,1,29.0,1,0,26.0,0,3,0
2,0,28.0,1,0,26.0,0,3,13
2,1,29.0,0,0,10.5,0,3,0
2,1,28.0,0,0,13.0,0,3,0
2,1,24.0,0,0,10.5,0,3,26
2,0,8.0,0,2,26.25,0,3,13
2,1,31.0,1,1,26.25,0,3,0
2,0,31.0,1,1,26.25,0,3,13
2,0,22.0,0,0,10.5,83,3,13
2,0,30.0,0,0,13.0,0,3,0
2,0,0.0,0,0,21.0,0,3,0
2,1,21.0,0,0,11.5,0,3,0
2,1,0.0,0,0,0.0,0,3,0
2,1,8.0,1,1,36.75,0,3,13
2,1,18.0,0,0,73.5,0,3,0
2,0,48.0,0,2,36.75,0,3,13
2,0,28.0,0,0,13.0,0,3,20
2,1,32.0,0,0,13.0,0,3,0
2,1,17.0,0,0,73.5,0,3,0
2,1,29.0,1,0,27.7208,0,2,0
2,0,24.0,1,0,27.7208,0,2,14
2,1,25.0,0,0,31.5,0,3,0
2,1,18.0,0,0,73.5,0,3,0
2,0,18.0,0,1,23.0,0,3,0
2,0,34.0,0,1,23.0,0,3,0
2,1,54.0,0,0,26.0,0,3,0
2,1,8.0,0,2,32.5,0,3,17
2,1,42.0,1,1,32.5,0,3,0
2,0,34.0,1,1,32.5,0,3,17
2,0,27.0,1,0,13.8583,0,2,14
2,0,30.0,1,0,13.8583,0,2,14
2,1,23.0,0,0,13.0,0,3,0
2,1,21.0,0,0,13.0,0,3,0
2,1,18.0,0,0,13.0,0,3,0
2,1,40.0,1,0,26.0,0,3,0
2,0,29.0,1,0,26.0,0,3,3
2,1,18.0,0,0,10.5,0,3,0
2,1,36.0,0,0,13.0,0,3,0
2,1,0.0,0,0,0.0,0,3,0
2,0,38.0,0,0,13.0,0,3,0
2,1,35.0,0,0,26.0,0,3,0
2,1,38.0,1,0,21.0,0,3,0
2,1,34.0,1,0,21.0,0,3,0
2,0,34.0,0,0,13.0,0,3,14
2,1,16.0,0,0,26.0,0,3,0
2,1,26.0,0,0,10.5,0,3,0
2,1,47.0,0,0,10.5,0,3,0
2,1,21.0,1,0,11.5,0,3,0
2,1,21.0,1,0,11.5,0,3,0
2,1,24.0,0,0,13.5,0,3,0
2,1,24.0,0,0,13.0,0,3,0
2,1,34.0,0,0,13.0,0,3,0
2,1,30.0,0,0,13.0,0,3,0
2,1,52.0,0,0,13.0,0,3,0
2,1,30.0,0,0,13.0,0,3,0
2,1,0.6667,1,1,14.5,0,3,24
2,0,24.0,0,2,14.5,0,3,24
2,1,44.0,0,0,13.0,0,3,0
2,0,6.0,0,1,33.0,0,3,15
2,1,28.0,0,1,33.0,0,3,0
2,1,62.0,0,0,10.5,0,3,12
2,1,30.0,0,0,10.5,0,3,0
2,0,7.0,0,2,26.25,0,3,13
2,1,43.0,1,1,26.25,0,3,0
2,0,45.0,1,1,26.25,0,3,13
2,0,24.0,1,2,65.0,0,3,26
2,0,24.0,1,2,65.0,0,3,26
2,1,49.0,1,2,65.0,0,3,0
2,0,48.0,1,2,65.0,0,3,26
2,0,55.0,0,0,16.0,0,3,20
2,1,24.0,2,0,73.5,0,3,0
2,1,32.0,2,0,73.5,0,3,0
2,1,21.0,2,0,73.5,0,3,0
2,0,18.0,1,1,13.0,0,3,0
2,0,20.0,2,1,23.0,0,3,24
2,1,23.0,2,1,11.5,0,3,0
2,1,36.0,0,0,13.0,0,3,0
2,0,54.0,1,3,23.0,0,3,24
2,1,50.0,0,0,13.0,0,3,0
2,1,44.0,1,0,26.0,0,3,0
2,0,29.0,1,0,26.0,0,3,17
2,1,21.0,0,0,73.5,0,3,0
2,1,42.0,0,0,13.0,0,3,17
2,1,63.0,1,0,26.0,0,3,0
2,0,60.0,1,0,26.0,0,3,0
2,1,33.0,0,0,12.275,0,3,0
2,0,17.0,0,0,10.5,0,3,0
2,1,42.0,1,0,27.0,0,3,0
2,0,24.0,2,1,27.0,0,3,14
2,1,47.0,0,0,15.0,0,3,0
2,1,24.0,2,0,31.5,0,3,0
2,1,22.0,2,0,31.5,0,3,0
2,1,32.0,0,0,10.5,0,3,0
2,0,23.0,0,0,13.7917,169,2,15
2,1,34.0,1,0,26.0,0,3,0
2,0,24.0,1,0,26.0,0,3,14
2,0,22.0,0,0,21.0,0,3,0
2,0,0.0,0,0,12.35,162,1,17
2,1,35.0,0,0,12.35,0,1,0
2,0,45.0,0,0,13.5,0,3,26
2,1,57.0,0,0,12.35,0,1,0
2,1,0.0,0,0,0.0,0,3,0
2,1,31.0,0,0,10.5,0,3,0
2,0,26.0,1,1,26.0,0,3,0
2,1,30.0,1,1,26.0,0,3,0
2,1,0.0,0,0,10.7083,0,1,0
2,0,1.0,1,2,41.5792,0,2,13
2,0,3.0,1,2,41.5792,0,2,13
2,1,25.0,1,2,41.5792,0,2,0
2,0,22.0,1,2,41.5792,0,2,13
2,0,17.0,0,0,12.0,0,2,14
2,0,0.0,0,0,33.0,0,3,15
2,0,34.0,0,0,10.5,83,3,13
2,1,36.0,0,0,12.875,169,2,0
2,1,24.0,0,0,10.5,0,3,0
2,1,61.0,0,0,12.35,0,1,0
2,1,50.0,1,0,26.0,0,3,0
2,0,42.0,1,0,26.0,0,3,0
2,0,57.0,0,0,10.5,125,3,0
2,1,0.0,0,0,15.0458,169,2,0
2,1,1.0,0,2,37.0042,0,2,17
2,1,31.0,1,1,37.0042,0,2,0
2,0,24.0,1,1,37.0042,0,2,17
2,1,0.0,0,0,15.5792,0,2,0
2,1,30.0,0,0,13.0,0,3,0
2,1,40.0,0,0,16.0,0,3,0
2,1,32.0,0,0,13.5,0,3,0
2,1,30.0,0,0,13.0,0,3,0
2,1,46.0,0,0,26.0,0,3,0
2,0,13.0,0,1,19.5,0,3,13
2,0,41.0,0,1,19.5,0,3,13
2,1,19.0,0,0,10.5,0,3,2
2,1,39.0,0,0,13.0,0,3,0
2,1,48.0,0,0,13.0,0,3,0
2,1,70.0,0,0,10.5,0,3,0
2,1,27.0,0,0,13.0,0,3,0
2,1,54.0,0,0,14.0,0,3,0
2,1,39.0,0,0,26.0,0,3,0
2,1,16.0,0,0,10.5,0,3,0
2,1,62.0,0,0,9.6875,0,1,0
2,1,32.5,1,0,30.0708,0,2,0
2,0,14.0,1,0,30.0708,0,2,0
2,1,2.0,1,1,26.0,143,3,19
2,1,3.0,1,1,26.0,143,3,19
2,1,36.5,0,2,26.0,143,3,0
2,1,26.0,0,0,13.0,143,3,0
2,1,19.0,1,1,36.75,0,3,0
2,1,28.0,0,0,13.5,0,3,0
2,1,20.0,0,0,13.8625,77,2,4
2,0,29.0,0,0,10.5,83,3,15
2,1,39.0,0,0,13.0,0,3,0
2,1,22.0,0,0,10.5,0,3,20
2,1,0.0,0,0,13.8625,0,2,26
2,1,23.0,0,0,10.5,0,3,0
2,1,29.0,0,0,13.8583,0,2,26
2,1,28.0,0,0,10.5,0,3,0
2,1,0.0,0,0,0.0,0,3,0
2,0,50.0,0,1,26.0,0,3,14
2,1,19.0,0,0,10.5,0,3,0
2,1,0.0,0,0,15.05,0,2,0
2,1,41.0,0,0,13.0,0,3,0
2,0,21.0,0,1,21.0,0,3,14
2,0,19.0,0,0,26.0,0,3,15
2,1,43.0,0,1,21.0,0,3,0
2,0,32.0,0,0,13.0,0,3,26
2,1,34.0,0,0,13.0,0,3,0
2,1,30.0,0,0,12.7375,0,2,13
2,1,27.0,0,0,15.0333,0,2,0
2,0,2.0,1,1,26.0,0,3,15
2,0,8.0,1,1,26.0,0,3,15
2,0,33.0,0,2,26.0,0,3,15
2,1,36.0,0,0,10.5,0,3,0
2,1,34.0,1,0,21.0,0,3,14
2,0,30.0,3,0,21.0,0,3,0
2,0,28.0,0,0,13.0,0,3,26
2,1,23.0,0,0,15.0458,0,2,0
2,1,0.8333,1,1,18.75,0,3,24
2,1,3.0,1,1,18.75,0,3,24
2,0,24.0,2,3,18.75,0,3,24
2,0,50.0,0,0,10.5,0,3,20
2,1,19.0,0,0,10.5,0,3,0
2,0,21.0,0,0,10.5,0,3,14
2,1,26.0,0,0,13.0,0,3,0
2,1,25.0,0,0,13.0,0,3,0
2,1,27.0,0,0,26.0,0,3,0
2,0,25.0,0,1,26.0,0,3,14
2,0,18.0,0,2,13.0,0,3,3
2,0,20.0,0,0,36.75,0,3,15
2,0,30.0,0,0,13.0,0,3,17
2,1,59.0,0,0,13.5,0,3,0
2,0,30.0,0,0,12.35,0,1,20
2,1,35.0,0,0,10.5,0,3,0
2,0,40.0,0,0,13.0,0,3,26
2,1,25.0,0,0,13.0,0,3,0
2,1,41.0,0,0,15.0458,0,2,0
2,1,25.0,0,0,10.5,0,3,0
2,1,18.5,0,0,13.0,54,3,0
2,1,14.0,0,0,65.0,0,3,0
2,0,50.0,0,0,10.5,0,3,26
2,1,23.0,0,0,13.0,0,3,0
2,0,28.0,0,0,12.65,0,3,0
2,0,27.0,0,0,10.5,162,3,3
2,1,29.0,1,0,21.0,0,3,0
2,0,27.0,1,0,21.0,0,3,0
2,1,40.0,0,0,13.0,0,3,0
2,0,31.0,0,0,21.0,0,3,13
2,1,30.0,1,0,21.0,0,3,0
2,1,23.0,1,0,10.5,0,3,0
2,0,31.0,0,0,21.0,0,3,17
2,1,0.0,0,0,0.0,0,3,0
2,0,12.0,0,0,15.75,0,3,26
2,0,40.0,0,0,15.75,0,3,26
2,0,32.5,0,0,13.0,162,3,14
2,1,27.0,1,0,26.0,0,3,0
2,0,29.0,1,0,26.0,0,3,17
2,1,2.0,1,1,23.0,0,3,13
2,0,4.0,1,1,23.0,0,3,13
2,0,29.0,0,2,23.0,0,3,13
2,0,0.9167,1,2,27.75,0,3,17
2,0,5.0,1,2,27.75,0,3,17
2,1,36.0,1,2,27.75,0,3,0
2,0,33.0,1,2,27.75,0,3,17
2,1,66.0,0,0,10.5,0,3,0
2,1,0.0,0,0,12.875,0,3,0
2,1,31.0,0,0,13.0,0,3,26
2,1,0.0,0,0,13.0,0,3,13
2,0,26.0,0,0,13.5,0,3,26
2,0,24.0,0,0,13.0,0,3,0
3,1,42.0,0,0,7.55,0,3,0
3,1,13.0,0,2,20.25,0,3,0
3,1,16.0,1,1,20.25,0,3,0
3,0,35.0,1,1,20.25,0,3,5
3,0,16.0,0,0,7.65,0,3,3
3,1,25.0,0,0,7.65,2,3,5
3,1,20.0,0,0,7.925,0,3,12
3,0,18.0,0,0,7.2292,0,2,25
3,1,30.0,0,0,7.25,0,3,0
3,1,26.0,0,0,8.05,0,3,0
3,0,40.0,1,0,9.475,0,3,0
3,1,0.8333,0,1,9.35,0,3,15
3,0,18.0,0,1,9.35,0,3,20
3,1,26.0,0,0,18.7875,0,2,12
3,1,26.0,0,0,7.8875,0,3,0
3,1,20.0,0,0,7.925,0,3,0
3,1,24.0,0,0,7.05,0,3,0
3,1,25.0,0,0,7.05,0,3,0
3,1,35.0,0,0,8.05,0,3,0
3,1,18.0,0,0,8.3,0,3,0
3,1,32.0,0,0,22.525,0,3,0
3,0,19.0,1,0,7.8542,0,3,3
3,1,4.0,4,2,31.275,0,3,0
3,0,6.0,4,2,31.275,0,3,0
3,0,2.0,4,2,31.275,0,3,0
3,0,17.0,4,2,7.925,0,3,19
